ID,Author,Comment,Sentimiento,Emoción Dominante
1,@J.L.Torrente,mi reconocimiento a richard galeano y equipo de hlqp por darle voz y públicamente que denuncie la víctima que destapó la olla,positivo,felicidad
2,@gonzalomauttones5093,lamentable que un político use el poder para cometer estos delitos aberrantes y también lamentable que el presidente del país y parte del gobierno salgan apoyar a penades y esta gente está cargo de un país y nos gobierna y decide sobre nosotros,negativo,indignación
3,@ilianaiglesias8931,vergonzoso todos los delitos y peor aún el respaldo del min del interior dentro del parlamento y del mismísimo presidentelo apañó la máxima institucionalidad de un país,negativo,indignación
4,@J.L.Torrente,la ley de hermandad que existe para mantener el poder es absolutamente repudiable,negativo,indignación
5,@gemaborche9580,en un país normal todo el gobierno debería renunciar y muchos de ellos directo al comcar,negativo,indignación
6,@Marcelo-garcia2011,increíble sólo en este país suceden estas cosas es todo muy grave y sin embargo todos seguimos calladoshasta cuándo dijera nuestro amigo,negativo,tristeza
7,@blancaroda1618,la prisión preventiva esta bien aun falta el juicio oral que puede durar un largo tiempodestaco la actualización de la fiscal que no dejó nada al azar y le ató las manos a los amigos del senador que planeaban una trama de mentiras y amenazas contra las victimas,positivo,conformidad
8,@jorgegallo6460,en un pais normal el ministro hace rato que habia volado pero nosotros como pais de normal cada vez tenemos menos,negativo,indignación
9,@gustavollanes3528,la justicia exsiste el fiscal incorruptible,positivo,felicidad
10,@nestorbustamante3461,felicitaciones a esa valiente fiscal q laburo muchas horas y no cedió a las tremendas presiones del poder todo era defender al amigo q los miraba a los ojos y hacia conferencia prensa en el parlamento ambos deben terminar presos presoooos,positivo,conformidad
11,@lauraramilo4568,cero vergüenza corruptos hasta las manos felicitaciones a la gente de galeano que le dio voz a papaso,negativo,indignación
12,@ReinosaDario,es un alivio ya estábamos en el límite de la credibilidad en la justicia quedan jueces y fiscales honestos y valientes creí que se habían extinguido,positivo,conformidad
13,@MrsMicro84,madrugó el señor z me da cierto reconfort y sensación de justicia que el delincuente de penades vaya preso,positivo,conformidad
14,@gustavomolinamendez2212,mira que lo hacen trabajar al sr zeta no le dan descanso,negativo,ironía
15,@elrincondelderecho,el presidente de la república y el ministro del interior no están a la altura de la circunstancia representan al estado no a sus amigos,negativo,indignación
16,@carlosalvarez7754,gracias zintv por refrescar la memoria reciente que los medios nos tratan de borrar permanentemente,positivo,felicidad
17,@irmavazquez6035,la verdad que había perdido la fe en la justicia pero esta fiscal tuvo ovarios para seguir contra todos,positivo,conformidad
18,@user-ml6mo1df8k,lo únicos que alguna vez tuvieron dudas de la veracidad de las denuncias fueron los amigos que peculiar,negativo,ironía
19,@richardnoble6904,felicitaciones a todas las personas que estan haciendo bien su trabajo a pesar de las presiones del gobierno,positivo,felicidad
20,@mojo8656,pobre luisito otro amigo que resulta ser tremendo bandido,negativo,ironía
21,@gabrielalcantaro91,lo que tendría que seguir es que el presidente le pida la renuncia a heber sería lo más lógico en un gobierno serio bueno en un gobierno serio,negativo,indignación
22,@silvitaladas5951,hasta lacalle pou debería ir preso por defender antes de la causani q hablar heber no pero claroen florida así la pasan bomba junto con atesianode fiesta en fiestafelicito a la fiscal ghione si fossati hubiera tenido un cachito de ética y profesionalidad como está fiscal otro gallo hubiera cantado,negativo,indignación
23,@dianapereira3581,al senador p y al exministro bonomi le cabe la misma pena por sus delitos,negativo,indignación
24,@ignacioperez-63u2,el único que hasta ahora está a salvo es el propio presidente que más allá de ser responsable por omisión no ha tenido acto directo conocido,negativo,conformidad
25,@manolocarranza,hay que ser justos señores no todos los políticos son corruptos ni todos los fiscales son fossati gracias a dios todavía hay gente con ética y compromiso con la verdad,positivo,conformidad
